"","simu","n_obs","mutation_rate","c","initial_trait_frequency","male_trait_first","male_trait_last","female_choice_first","female_choice_last","female_preference_last","mean_nb_meetings","nb_meetings_1","nb_matings_1","nb_females_meeting_1"
"67",67,5,0,0.7,0.00446428571428571,0.004481400426,0.004288218265,0.004391365767,0.001745544509,0,1.433426718,1.36,0.373,1.353
"68",68,10,0,0.7,0.00446428571428571,0.004600487434,0.004555359009,0.004408666259,0.002044798314,0,1.429331437,1.437,0.434,1.425
"69",69,15,0,0.7,0.00446428571428571,0.004563427015,0.004683171398,0.004859644857,0.002117014193,0,1.42957608,1.418,0.452,1.41
"70",70,20,0,0.7,0.00446428571428571,0.004575673843,0.004555374399,0.004850774603,0.001956700806,0,1.432583155,1.403,0.418,1.392
"71",71,25,0,0.7,0.00446428571428571,0.004518126628,0.004643478949,0.004909488461,0.002057240834,0,1.432155779,1.385,0.438,1.376
"72",72,30,0,0.7,0.00446428571428571,0.004460806361,0.00456972283,0.004163350925,0.00200518746,0,1.430487071,1.395,0.428,1.382
"73",73,0,0,0.8,0.00446428571428571,0.004391124303,0.004408182638,0.004437852418,0.009147540606,0.5006603715,3.09349367,2.887,1.946,2.866
"74",74,1,0,0.8,0.00446428571428571,0.004560838726,0.00457898934,0.004589063716,0.001258493478,0.004763725588,1.271684076,1.245,0.269,1.24
"75",75,5,0,0.8,0.00446428571428571,0.004535338297,0.004532993417,0.004765949106,0.000978200699,4.219409e-06,1.253078644,1.188,0.21,1.182
"76",76,10,0,0.8,0.00446428571428571,0.004332101277,0.004299476448,0.004420114926,0.000944455442,0,1.253815594,1.202,0.202,1.184
"77",77,15,0,0.8,0.00446428571428571,0.004526174752,0.004452228495,0.00434712101,0.001051735644,0,1.253136305,1.19,0.223,1.178
"78",78,20,0,0.8,0.00446428571428571,0.004463547522,0.004432919033,0.004297438776,0.001090942122,0,1.253809053,1.173,0.234,1.161
"79",79,25,0,0.8,0.00446428571428571,0.004433666129,0.004502185858,0.004378969706,0.001101584932,0,1.255522598,1.187,0.235,1.175
"80",80,30,0,0.8,0.00446428571428571,0.004288174453,0.004207957937,0.004310232738,0.001140880169,0,1.256902837,1.177,0.244,1.164
"81",81,0,0,0.9,0.00446428571428571,0.004471030327,0.004451865277,0.004379131693,0.019497043771,0.5005716703,5.388324922,5.097,4.151,5.057
"82",82,1,0,0.9,0.00446428571428571,0.004461833314,0.004308730884,0.004240682495,0.000659581285,0.004086075948,1.14975711,1.092,0.141,1.083
"83",83,5,0,0.9,0.00446428571428571,0.00460937854,0.004527748916,0.0045019164,0.000470316405,8.463052e-06,1.117089311,1.081,0.101,1.074
"84",84,10,0,0.9,0.00446428571428571,0.004389595106,0.004370736831,0.004461322131,0.000456725237,0,1.116170343,1.04,0.097,1.024
