;simu;n_obs;mutation_rate;c;n_matings;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration;tradition_for_trait
75;1;7;1;0.5;1;75;101;0.4947917;215;214.5149;7;0;0
76;1;7;1;0.5;1;76;101;0.4757282;216;215.7525;7;0;0
77;1;7;1;0.5;1;77;101;0.5420561;211;215.297;7;0;1
78;1;7;1;0.5;1;78;102;0.5070423;217;215.6765;7;1;1
79;1;7;1;0.5;1;79;102;0.5277778;221;215.2647;7;1;1
80;1;7;1;0.5;1;80;102;0.4957627;197;215.0196;7;1;0
81;1;7;1;0.5;1;81;101;0.4757282;236;214.7426;7;0;0
82;1;7;1;0.5;1;82;103;0.5437788;231;214.8641;7;2;1
83;1;7;1;0.5;1;83;101;0.5;234;215.2475;7;0;0
84;1;7;1;0.5;1;84;105;0.4633028;204;214.581;7;4;0
85;1;7;1;0.5;1;85;101;0.474359;210;215.0594;7;0;0
86;1;7;1;0.5;1;86;103;0.4666667;214;214.7379;7;2;0
87;1;7;1;0.5;1;87;101;0.4680851;199;215.4752;7;0;0
88;1;7;1;0.5;1;88;103;0.4864865;219;215.8447;7;2;0
89;1;7;1;0.5;1;89;102;0.47343;214;214.1078;7;1;0
90;1;7;1;0.5;1;90;102;0.5248869;208;214.5098;7;1;1
91;1;7;1;0.5;1;91;104;0.4912281;205;215.0096;7;3;0
92;1;7;1;0.5;1;92;101;0.4912281;215;213.703;7;0;0
93;1;7;1;0.5;1;93;102;0.4536082;204;215.2255;7;1;0
94;1;7;1;0.5;1;94;107;0.4181818;203;215.3551;7;6;0
95;1;7;1;0.5;1;95;102;0.509434;195;215.2157;7;1;1
96;1;7;1;0.5;1;96;101;0.5318182;216;215.495;7;0;1
97;1;7;1;0.5;1;97;106;0.5120773;214;215.5377;7;5;1
98;1;7;1;0.5;1;98;102;0.5156951;216;216.4902;7;1;1
99;1;7;1;0.5;1;99;103;0.5342466;218;215.4951;7;2;1
100;1;7;1;0.5;1;100;101;0.4464286;226;214.7822;7;0;0
101;2;7;0.2;0.5;1;1;101;0.5023923;213;215.2178;7;0;1
102;2;7;0.2;0.5;1;2;104;0.5601852;222;215.625;7;3;1
103;2;7;0.2;0.5;1;3;102;0.5560748;193;214.4804;7;1;1
104;2;7;0.2;0.5;1;4;105;0.5681818;213;215.3238;7;4;1
105;2;7;0.2;0.5;1;5;102;0.4095238;222;215.049;7;1;0
106;2;7;0.2;0.5;1;6;106;0.4875622;221;215.8113;7;5;0
107;2;7;0.2;0.5;1;7;101;0.4323144;207;215.8515;7;0;0
108;2;7;0.2;0.5;1;8;103;0.455814;203;214.6699;7;2;0
109;2;7;0.2;0.5;1;9;101;0.5196078;227;214.9802;7;0;1
110;2;7;0.2;0.5;1;10;101;0.5112108;214;215.6733;7;0;1
111;2;7;0.2;0.5;1;11;102;0.4303797;210;214.8431;7;1;0
112;2;7;0.2;0.5;1;12;116;0.5592417;209;215.7845;7;15;1
113;2;7;0.2;0.5;1;13;103;0.572093;212;215.6893;7;2;1
114;2;7;0.2;0.5;1;14;103;0.5118483;223;215.8738;7;2;1
115;2;7;0.2;0.5;1;15;103;0.507177;210;216.0291;7;2;1
116;2;7;0.2;0.5;1;16;101;0.462766;224;214.7228;7;0;0
117;2;7;0.2;0.5;1;17;102;0.4932735;217;214.5098;7;1;0
