;simu;n_obs;mutation_rate;c;K;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
241;3;5;0.1;0.5;250;41;101;0.5531915;71;55.9703;5;0
242;3;5;0.1;0.5;250;42;109;0.5952381;70;56.44037;5;8
243;3;5;0.1;0.5;250;43;125;0.5909091;60;56.44;5;24
244;3;5;0.1;0.5;250;44;101;0.6721311;54;56.44554;5;0
245;3;5;0.1;0.5;250;45;113;0.6610169;56;55.89381;5;12
246;3;5;0.1;0.5;250;46;116;0.7288136;50;56.32759;5;15
247;3;5;0.1;0.5;250;47;101;0.537037;72;55.83168;5;0
248;3;5;0.1;0.5;250;48;101;0.6190476;47;55.0099;5;0
249;3;5;0.1;0.5;250;49;130;0.5263158;55;55.7;5;29
250;3;5;0.1;0.5;250;50;101;0.4038462;65;56.86139;5;0
251;3;5;0.1;0.5;250;51;123;0.4745763;65;56.47154;5;22
252;3;5;0.1;0.5;250;52;103;0.6142857;47;55.59223;5;2
253;3;5;0.1;0.5;250;53;101;0.5454545;60;55.48515;5;0
254;3;5;0.1;0.5;250;54;104;0.5098039;59;55.17308;5;3
255;3;5;0.1;0.5;250;55;102;0.5;48;56.19608;5;1
256;3;5;0.1;0.5;250;56;110;0.75;55;55.96364;5;9
257;3;5;0.1;0.5;250;57;102;0.4528302;56;56.26471;5;1
258;3;5;0.1;0.5;250;58;109;0.484375;66;55.68807;5;8
259;3;5;0.1;0.5;250;59;104;0.7419355;49;55.66346;5;3
260;3;5;0.1;0.5;250;60;101;0.1724138;49;55.80198;5;0
261;3;5;0.1;0.5;250;61;121;0.4107143;52;55.92562;5;20
262;3;5;0.1;0.5;250;62;103;0.4615385;66;56.00971;5;2
263;3;5;0.1;0.5;250;63;125;0.4255319;68;55.304;5;24
264;3;5;0.1;0.5;250;64;101;0.440678;57;55.51485;5;0
265;3;5;0.1;0.5;250;65;101;0.440678;54;56.65347;5;0
266;3;5;0.1;0.5;250;66;105;0.35;65;56.05714;5;4
267;3;5;0.1;0.5;250;67;109;0.6440678;62;55.87156;5;8
268;3;5;0.1;0.5;250;68;124;0.3571429;60;55.87903;5;23
269;3;5;0.1;0.5;250;69;102;0.5333333;51;55.35294;5;1
270;3;5;0.1;0.5;250;70;109;0.765625;50;56.11927;5;8
271;3;5;0.1;0.5;250;71;102;0.6229508;48;56.5;5;1
272;3;5;0.1;0.5;250;72;102;0.2763158;52;56.10784;5;1
273;3;5;0.1;0.5;250;73;101;0.362069;49;56.51485;5;0
274;3;5;0.1;0.5;250;74;105;0.6037736;53;55.80952;5;4
275;3;5;0.1;0.5;250;75;102;0.6346154;59;55.52941;5;1
276;3;5;0.1;0.5;250;76;103;0.4090909;52;55.25243;5;2
277;3;5;0.1;0.5;250;77;101;0.4657534;51;56.73267;5;0
278;3;5;0.1;0.5;250;78;101;0.6296296;50;56.40594;5;0
279;3;5;0.1;0.5;250;79;102;0.2692308;65;54.71569;5;1
280;3;5;0.1;0.5;250;80;110;0.2711864;62;55.84545;5;9
281;3;5;0.1;0.5;250;81;101;0.6031746;64;56.0297;5;0
282;3;5;0.1;0.5;250;82;151;0.2884615;48;56;5;50
283;3;5;0.1;0.5;250;83;103;0.4054054;66;56.09709;5;2
284;3;5;0.1;0.5;250;84;101;0.5217391;54;56.13861;5;0
285;3;5;0.1;0.5;250;85;101;0.4693878;54;56.87129;5;0
286;3;5;0.1;0.5;250;86;105;0.5172414;53;55.26667;5;4
287;3;5;0.1;0.5;250;87;101;0.4655172;48;55.73267;5;0
288;3;5;0.1;0.5;250;88;111;0.3389831;65;55.15315;5;10
289;3;5;0.1;0.5;250;89;123;0.4666667;58;57.04878;5;22
290;3;5;0.1;0.5;250;90;108;0.6153846;52;55.97222;5;7
291;3;5;0.1;0.5;250;91;109;0.2884615;64;55.53211;5;8
292;3;5;0.1;0.5;250;92;101;0.5230769;54;55.9604;5;0
293;3;5;0.1;0.5;250;93;110;0.3829787;65;56.15455;5;9
294;3;5;0.1;0.5;250;94;104;0.3555556;69;56.60577;5;3
295;3;5;0.1;0.5;250;95;103;0.4035088;54;55.67961;5;2
296;3;5;0.1;0.5;250;96;103;0.28;51;55.94175;5;2
297;3;5;0.1;0.5;250;97;113;0.6724138;54;56.39823;5;12
298;3;5;0.1;0.5;250;98;129;0.8301887;66;54.99225;5;28
299;3;5;0.1;0.5;250;99;104;0.530303;49;55.24038;5;3
300;3;5;0.1;0.5;250;100;103;0.254902;57;55.61165;5;2
301;4;7;0.1;0.5;250;1;104;0.4666667;60;57.04808;7;3
302;4;7;0.1;0.5;250;2;104;0.6538462;53;56.68269;7;3
303;4;7;0.1;0.5;250;3;101;0.3703704;53;56.12871;7;0
304;4;7;0.1;0.5;250;4;101;0.3888889;58;56.42574;7;0
305;4;7;0.1;0.5;250;5;103;0.3285714;48;56.32039;7;2
306;4;7;0.1;0.5;250;6;112;0.3035714;55;56.125;7;11
307;4;7;0.1;0.5;250;7;115;0.2622951;50;55.73043;7;14
308;4;7;0.1;0.5;250;8;107;0.3773585;52;55.68224;7;6
309;4;7;0.1;0.5;250;9;101;0.3191489;49;56.23762;7;0
310;4;7;0.1;0.5;250;10;101;0.3877551;58;55.18812;7;0
311;4;7;0.1;0.5;250;11;101;0.4754098;61;56.68317;7;0
312;4;7;0.1;0.5;250;12;101;0.4716981;69;55.86139;7;0
313;4;7;0.1;0.5;250;13;111;0.40625;58;55.52252;7;10
314;4;7;0.1;0.5;250;14;104;0.4680851;54;55.85577;7;3
315;4;7;0.1;0.5;250;15;121;0.2978723;60;55.92562;7;20
316;4;7;0.1;0.5;250;16;101;0.6491228;60;55.9505;7;0
317;4;7;0.1;0.5;250;17;103;0.7142857;52;56.12621;7;2
318;4;7;0.1;0.5;250;18;101;0.3846154;61;55.54455;7;0
319;4;7;0.1;0.5;250;19;102;0.3265306;66;56.02941;7;1
320;4;7;0.1;0.5;250;20;102;0.5744681;64;55.22549;7;1
321;4;7;0.1;0.5;250;21;103;0.3818182;45;55.65049;7;2
322;4;7;0.1;0.5;250;22;101;0.5535714;66;55.62376;7;0
323;4;7;0.1;0.5;250;23;104;0.3461538;64;56.625;7;3
324;4;7;0.1;0.5;250;24;101;0.4558824;62;56.92079;7;0
325;4;7;0.1;0.5;250;25;101;0.4918033;49;56.66337;7;0
326;4;7;0.1;0.5;250;26;103;0.6060606;54;55.95146;7;2
327;4;7;0.1;0.5;250;27;105;0.442623;58;55.11429;7;4
328;4;7;0.1;0.5;250;28;107;0.5636364;58;56.18692;7;6
329;4;7;0.1;0.5;250;29;102;0.5;55;56.17647;7;1
330;4;7;0.1;0.5;250;30;102;0.5833333;59;56.5;7;1
331;4;7;0.1;0.5;250;31;116;0.1851852;50;55.5431;7;15
332;4;7;0.1;0.5;250;32;101;0.4736842;52;56.07921;7;0
333;4;7;0.1;0.5;250;33;105;0.3541667;59;55.61905;7;4
334;4;7;0.1;0.5;250;34;118;0.5;58;55.52542;7;17
335;4;7;0.1;0.5;250;35;103;0.5384615;65;55.81553;7;2
336;4;7;0.1;0.5;250;36;102;0.6065574;54;54.68627;7;1
337;4;7;0.1;0.5;250;37;103;0.3090909;53;56.14563;7;2
338;4;7;0.1;0.5;250;38;101;0.5;54;55.88119;7;0
339;4;7;0.1;0.5;250;39;103;0.3396226;64;55.7767;7;2
340;4;7;0.1;0.5;250;40;109;0.6190476;66;55.23853;7;8
341;4;7;0.1;0.5;250;41;101;0.4745763;58;56.41584;7;0
342;4;7;0.1;0.5;250;42;101;0.5625;68;56.51485;7;0
343;4;7;0.1;0.5;250;43;104;0.627451;55;55.30769;7;3
344;4;7;0.1;0.5;250;44;102;0.4615385;70;55.53922;7;1
345;4;7;0.1;0.5;250;45;115;0.5223881;39;55.37391;7;14
346;4;7;0.1;0.5;250;46;101;0.4745763;50;56.0297;7;0
347;4;7;0.1;0.5;250;47;105;0.2173913;60;56.8;7;4
348;4;7;0.1;0.5;250;48;101;0.6346154;54;54.92079;7;0
349;4;7;0.1;0.5;250;49;101;0.6935484;54;56.22772;7;0
350;4;7;0.1;0.5;250;50;101;0.5517241;48;55.83168;7;0
351;4;7;0.1;0.5;250;51;104;0.2962963;52;55.625;7;3
352;4;7;0.1;0.5;250;52;106;0.4545455;68;56.24528;7;5
353;4;7;0.1;0.5;250;53;103;0.7678571;53;54.98058;7;2
354;4;7;0.1;0.5;250;54;104;0.8461538;56;55.29808;7;3
355;4;7;0.1;0.5;250;55;105;0.4339623;57;56.29524;7;4
356;4;7;0.1;0.5;250;56;102;0.6140351;60;55.63725;7;1
357;4;7;0.1;0.5;250;57;107;0.6612903;53;56.36449;7;6
358;4;7;0.1;0.5;250;58;103;0.4901961;60;56.48544;7;2
359;4;7;0.1;0.5;250;59;101;0.5147059;51;56.13861;7;0
360;4;7;0.1;0.5;250;60;101;0.6;53;56.36634;7;0
361;4;7;0.1;0.5;250;61;101;0.7419355;55;55.86139;7;0
362;4;7;0.1;0.5;250;62;101;0.6818182;46;55.59406;7;0
363;4;7;0.1;0.5;250;63;108;0.358209;49;56.37963;7;7
364;4;7;0.1;0.5;250;64;102;0.6734694;63;56.29412;7;1
365;4;7;0.1;0.5;250;65;101;0.4;60;56.28713;7;0
