;simu;n_obs;mutation_rate;c;K;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
75;1;1;0.1;0.5;250;75;101;0.745098;56;55.53465;1;0
76;1;1;0.1;0.5;250;76;107;0.2361111;59;56.93458;1;6
77;1;1;0.1;0.5;250;77;101;0.32;53;55.27723;1;0
78;1;1;0.1;0.5;250;78;102;0.3859649;55;55.42157;1;1
79;1;1;0.1;0.5;250;79;102;0.3859649;48;54.87255;1;1
80;1;1;0.1;0.5;250;80;101;0.65;48;54.9901;1;0
81;1;1;0.1;0.5;250;81;101;0.4651163;45;55.45545;1;0
82;1;1;0.1;0.5;250;82;101;0.5283019;45;55.11881;1;0
83;1;1;0.1;0.5;250;83;118;0.5;58;56;1;17
84;1;1;0.1;0.5;250;84;101;0.6226415;45;56.23762;1;0
85;1;1;0.1;0.5;250;85;102;0.7307692;63;55.43137;1;1
86;1;1;0.1;0.5;250;86;103;0.5423729;46;56.30097;1;2
87;1;1;0.1;0.5;250;87;105;0.6268657;57;56.67619;1;4
88;1;1;0.1;0.5;250;88;111;0.2407407;57;55.62162;1;10
89;1;1;0.1;0.5;250;89;111;0.7090909;50;55.12613;1;10
90;1;1;0.1;0.5;250;90;101;0.6461538;57;55.92079;1;0
91;1;1;0.1;0.5;250;91;103;0.6;46;55.54369;1;2
92;1;1;0.1;0.5;250;92;110;0.3030303;58;56.40909;1;9
93;1;1;0.1;0.5;250;93;101;0.3833333;69;56.78218;1;0
94;1;1;0.1;0.5;250;94;101;0.4893617;60;56.40594;1;0
95;1;1;0.1;0.5;250;95;105;0.4285714;61;55.65714;1;4
96;1;1;0.1;0.5;250;96;106;0.6557377;56;55.70755;1;5
97;1;1;0.1;0.5;250;97;106;0.4193548;61;56.31132;1;5
98;1;1;0.1;0.5;250;98;106;0.2666667;72;56.59434;1;5
99;1;1;0.1;0.5;250;99;101;0.509434;61;55.94059;1;0
100;1;1;0.1;0.5;250;100;101;0.5490196;42;56;1;0
101;2;3;0.1;0.5;250;1;102;0.5625;57;56.52941;3;1
102;2;3;0.1;0.5;250;2;109;0.4339623;59;55.49541;3;8
103;2;3;0.1;0.5;250;3;102;0.4761905;61;55.91176;3;1
104;2;3;0.1;0.5;250;4;103;0.8135593;66;55.7767;3;2
105;2;3;0.1;0.5;250;5;103;0.3898305;49;56.01942;3;2
106;2;3;0.1;0.5;250;6;105;0.3396226;66;55.40952;3;4
107;2;3;0.1;0.5;250;7;101;0.5483871;67;56.40594;3;0
108;2;3;0.1;0.5;250;8;106;0.3962264;49;55.89623;3;5
109;2;3;0.1;0.5;250;9;102;0.5102041;54;56.58824;3;1
110;2;3;0.1;0.5;250;10;101;0.6615385;63;55.64356;3;0
111;2;3;0.1;0.5;250;11;101;0.6607143;55;56.68317;3;0
112;2;3;0.1;0.5;250;12;104;0.2372881;48;55.97115;3;3
113;2;3;0.1;0.5;250;13;130;0.4264706;51;55.57692;3;29
114;2;3;0.1;0.5;250;14;104;0.3035714;47;55.49038;3;3
115;2;3;0.1;0.5;250;15;102;0.4423077;63;55.26471;3;1
116;2;3;0.1;0.5;250;16;102;0.75;47;55.91176;3;1
117;2;3;0.1;0.5;250;17;109;0.6666667;46;55.53211;3;8
118;2;3;0.1;0.5;250;18;107;0.4576271;59;56.31776;3;6
119;2;3;0.1;0.5;250;19;101;0.32;61;55.48515;3;0
120;2;3;0.1;0.5;250;20;101;0.6909091;55;56.29703;3;0
121;2;3;0.1;0.5;250;21;101;0.4363636;54;55.25743;3;0
122;2;3;0.1;0.5;250;22;101;0.4705882;62;57.14851;3;0
123;2;3;0.1;0.5;250;23;103;0.704918;59;56.63107;3;2
124;2;3;0.1;0.5;250;24;105;0.52;62;55.49524;3;4
125;2;3;0.1;0.5;250;25;101;0.6956522;56;56.31683;3;0
126;2;3;0.1;0.5;250;26;102;0.5681818;53;55.28431;3;1
127;2;3;0.1;0.5;250;27;101;0.5322581;58;55.89109;3;0
128;2;3;0.1;0.5;250;28;102;0.4590164;74;56.69608;3;1
129;2;3;0.1;0.5;250;29;102;0.2676056;56;56.03922;3;1
130;2;3;0.1;0.5;250;30;102;0.4516129;54;56.15686;3;1
131;2;3;0.1;0.5;250;31;102;0.5084746;62;56.83333;3;1
132;2;3;0.1;0.5;250;32;118;0.8297872;55;55.63559;3;17
133;2;3;0.1;0.5;250;33;103;0.5689655;60;56.32039;3;2
134;2;3;0.1;0.5;250;34;101;0.5555556;53;55.40594;3;0
135;2;3;0.1;0.5;250;35;105;0.5192308;62;55.89524;3;4
136;2;3;0.1;0.5;250;36;104;0.1607143;62;56.38462;3;3
137;2;3;0.1;0.5;250;37;101;0.4032258;58;55.82178;3;0
138;2;3;0.1;0.5;250;38;103;0.3137255;37;55.96117;3;2
139;2;3;0.1;0.5;250;39;101;0.5192308;57;56.36634;3;0
140;2;3;0.1;0.5;250;40;101;0.6153846;65;56.48515;3;0
141;2;3;0.1;0.5;250;41;105;0.5957447;55;56.05714;3;4
142;2;3;0.1;0.5;250;42;101;0.4;47;55.79208;3;0
143;2;3;0.1;0.5;250;43;101;0.5737705;49;56.40594;3;0
144;2;3;0.1;0.5;250;44;101;0.6363636;57;55.14851;3;0
145;2;3;0.1;0.5;250;45;111;0.5087719;52;55.95495;3;10
146;2;3;0.1;0.5;250;46;101;0.4821429;56;56.18812;3;0
147;2;3;0.1;0.5;250;47;101;0.4509804;51;55.51485;3;0
148;2;3;0.1;0.5;250;48;101;0.3703704;51;55.66337;3;0
149;2;3;0.1;0.5;250;49;101;0.7407407;55;56.36634;3;0
150;2;3;0.1;0.5;250;50;102;0.5744681;60;56.70588;3;1
151;2;3;0.1;0.5;250;51;102;0.5818182;56;55.67647;3;1
152;2;3;0.1;0.5;250;52;103;0.4509804;53;56.19417;3;2
153;2;3;0.1;0.5;250;53;101;0.7358491;60;54.89109;3;0
154;2;3;0.1;0.5;250;54;101;0.5084746;54;56.0198;3;0
155;2;3;0.1;0.5;250;55;104;0.5510204;72;55.77885;3;3
156;2;3;0.1;0.5;250;56;103;0.5434783;63;55.91262;3;2
157;2;3;0.1;0.5;250;57;101;0.5;60;56.0396;3;0
158;2;3;0.1;0.5;250;58;101;0.6461538;52;54.64356;3;0
159;2;3;0.1;0.5;250;59;101;0.4918033;42;55.44554;3;0
160;2;3;0.1;0.5;250;60;102;0.5081967;48;54.92157;3;1
161;2;3;0.1;0.5;250;61;110;0.6206897;53;55.62727;3;9
162;2;3;0.1;0.5;250;62;101;0.3571429;61;56.40594;3;0
163;2;3;0.1;0.5;250;63;102;0.1525424;55;55.85294;3;1
164;2;3;0.1;0.5;250;64;101;0.5952381;58;55.56436;3;0
165;2;3;0.1;0.5;250;65;101;0.48;55;54.47525;3;0
166;2;3;0.1;0.5;250;66;101;0.4716981;61;56.14851;3;0
167;2;3;0.1;0.5;250;67;101;0.4677419;46;55.69307;3;0
168;2;3;0.1;0.5;250;68;101;0.5833333;55;55.44554;3;0
169;2;3;0.1;0.5;250;69;105;0.28;63;55.54286;3;4
170;2;3;0.1;0.5;250;70;103;0.6363636;62;56.05825;3;2
171;2;3;0.1;0.5;250;71;106;0.2545455;54;55.5;3;5
172;2;3;0.1;0.5;250;72;105;0.3396226;63;56.6;3;4
173;2;3;0.1;0.5;250;73;101;0.5777778;63;55.60396;3;0
174;2;3;0.1;0.5;250;74;101;0.4852941;51;54.33663;3;0
175;2;3;0.1;0.5;250;75;114;0.4642857;48;55.7807;3;13
176;2;3;0.1;0.5;250;76;101;0.4186047;67;55.78218;3;0
177;2;3;0.1;0.5;250;77;102;0.5942029;54;56.29412;3;1
178;2;3;0.1;0.5;250;78;101;0.3898305;53;56.43564;3;0
179;2;3;0.1;0.5;250;79;101;0.5918367;59;55.9604;3;0
180;2;3;0.1;0.5;250;80;101;0.4363636;52;55.46535;3;0
181;2;3;0.1;0.5;250;81;117;0.5384615;55;55.65812;3;16
182;2;3;0.1;0.5;250;82;101;0.5438596;58;55.77228;3;0
183;2;3;0.1;0.5;250;83;101;0.6666667;56;55.34653;3;0
184;2;3;0.1;0.5;250;84;108;0.5909091;56;55.87963;3;7
185;2;3;0.1;0.5;250;85;107;0.6734694;65;55.51402;3;6
186;2;3;0.1;0.5;250;86;103;0.3333333;60;56.14563;3;2
187;2;3;0.1;0.5;250;87;107;0.3018868;61;54.81308;3;6
188;2;3;0.1;0.5;250;88;101;0.3958333;55;56.30693;3;0
189;2;3;0.1;0.5;250;89;110;0.5849057;70;56.60909;3;9
190;2;3;0.1;0.5;250;90;101;0.5660377;61;55.62376;3;0
191;2;3;0.1;0.5;250;91;105;0.2909091;57;55.49524;3;4
192;2;3;0.1;0.5;250;92;103;0.3939394;64;55.6699;3;2
193;2;3;0.1;0.5;250;93;112;0.5098039;54;55.58036;3;11
194;2;3;0.1;0.5;250;94;103;0.3695652;61;56.02913;3;2
195;2;3;0.1;0.5;250;95;102;0.4166667;55;55.29412;3;1
196;2;3;0.1;0.5;250;96;101;0.54;50;56.23762;3;0
197;2;3;0.1;0.5;250;97;111;0.630137;54;55.96396;3;10
198;2;3;0.1;0.5;250;98;101;0.4545455;52;56.89109;3;0
199;2;3;0.1;0.5;250;99;101;0.440678;61;56.0297;3;0
200;2;3;0.1;0.5;250;100;114;0.3;60;55.57895;3;13
201;3;5;0.1;0.5;250;1;101;0.5283019;59;55.88119;5;0
202;3;5;0.1;0.5;250;2;103;0.5892857;47;55.24272;5;2
203;3;5;0.1;0.5;250;3;101;0.6734694;61;55.41584;5;0
204;3;5;0.1;0.5;250;4;101;0.5238095;53;55.82178;5;0
205;3;5;0.1;0.5;250;5;102;0.4307692;52;56.63725;5;1
206;3;5;0.1;0.5;250;6;105;0.5087719;52;56.19048;5;4
207;3;5;0.1;0.5;250;7;104;0.6557377;45;55.44231;5;3
208;3;5;0.1;0.5;250;8;101;0.3035714;51;56.0198;5;0
209;3;5;0.1;0.5;250;9;116;0.2592593;55;55.46552;5;15
210;3;5;0.1;0.5;250;10;101;0.5576923;53;55.53465;5;0
211;3;5;0.1;0.5;250;11;101;0.4477612;50;55.54455;5;0
212;3;5;0.1;0.5;250;12;105;0.09803922;57;55.25714;5;4
213;3;5;0.1;0.5;250;13;116;0.4318182;66;56.75;5;15
214;3;5;0.1;0.5;250;14;101;0.4035088;56;56.21782;5;0
215;3;5;0.1;0.5;250;15;101;0.537037;47;55.27723;5;0
216;3;5;0.1;0.5;250;16;102;0.5762712;39;55.43137;5;1
217;3;5;0.1;0.5;250;17;102;0.3529412;59;56.56863;5;1
218;3;5;0.1;0.5;250;18;104;0.4464286;55;55.29808;5;3
219;3;5;0.1;0.5;250;19;108;0.5789474;42;55.97222;5;7
220;3;5;0.1;0.5;250;20;112;0.375;42;55.94643;5;11
221;3;5;0.1;0.5;250;21;105;0.2941176;59;56.0381;5;4
222;3;5;0.1;0.5;250;22;103;0.3859649;56;55.60194;5;2
223;3;5;0.1;0.5;250;23;104;0.32;56;55.13462;5;3
224;3;5;0.1;0.5;250;24;101;0.5084746;69;55.45545;5;0
225;3;5;0.1;0.5;250;25;107;0.4915254;41;55.6729;5;6
226;3;5;0.1;0.5;250;26;103;0.5818182;54;55.91262;5;2
227;3;5;0.1;0.5;250;27;101;0.2653061;49;56.0495;5;0
228;3;5;0.1;0.5;250;28;104;0.7096774;57;55.73077;5;3
229;3;5;0.1;0.5;250;29;102;0.5208333;46;55.7451;5;1
230;3;5;0.1;0.5;250;30;104;0.5555556;64;55.125;5;3
231;3;5;0.1;0.5;250;31;101;0.3921569;62;56.66337;5;0
232;3;5;0.1;0.5;250;32;102;0.5862069;62;56.01961;5;1
233;3;5;0.1;0.5;250;33;101;0.4821429;68;55.94059;5;0
234;3;5;0.1;0.5;250;34;102;0.5217391;56;56.64706;5;1
235;3;5;0.1;0.5;250;35;122;0.578125;57;55.94262;5;21
236;3;5;0.1;0.5;250;36;101;0.5178571;55;55.51485;5;0
237;3;5;0.1;0.5;250;37;101;0.4642857;58;56.60396;5;0
238;3;5;0.1;0.5;250;38;101;0.6181818;62;56.36634;5;0
239;3;5;0.1;0.5;250;39;106;0.4032258;56;56.29245;5;5
240;3;5;0.1;0.5;250;40;109;0.3018868;55;55.21101;5;8
