;simu;n_obs;mutation_rate;c;initial_trait_frequency;initial_pref_frequency;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration;tradition_for_trait
66;1;7;1;0.5;0.1;0.1;66;2;0.4746544;208;212.5;7;0;0
67;1;7;1;0.5;0.1;0.1;67;4;0.4581498;239;223.75;7;2;0
68;1;7;1;0.5;0.1;0.1;68;2;0.5158371;246;233.5;7;0;1
69;1;7;1;0.5;0.1;0.1;69;3;0.5166667;215;219.3333;7;1;1
70;1;7;1;0.5;0.1;0.1;70;2;0.5287958;244;217.5;7;0;1
71;1;7;1;0.5;0.1;0.1;71;2;0.5117371;248;230.5;7;0;1
72;1;7;1;0.5;0.1;0.1;72;2;0.502439;200;202.5;7;0;1
73;1;7;1;0.5;0.1;0.1;73;3;0.5661157;208;214.6667;7;1;1
74;1;7;1;0.5;0.1;0.1;74;5;0.5;224;220.2;7;3;0
75;1;7;1;0.5;0.1;0.1;75;2;0.5700483;269;238;7;0;1
76;1;7;1;0.5;0.1;0.1;76;3;0.5189873;194;212.3333;7;1;1
77;1;7;1;0.5;0.1;0.1;77;2;0.4871795;235;234.5;7;0;0
78;1;7;1;0.5;0.1;0.1;78;3;0.4130435;206;211.3333;7;1;0
79;1;7;1;0.5;0.1;0.1;79;3;0.4885845;216;216.3333;7;1;0
80;1;7;1;0.5;0.1;0.1;80;3;0.465587;205;216;7;1;0
81;1;7;1;0.5;0.1;0.1;81;3;0.4685039;212;217;7;1;0
82;1;7;1;0.5;0.1;0.1;82;5;0.5363636;226;230;7;3;1
83;1;7;1;0.5;0.1;0.1;83;3;0.52;217;223;7;1;1
84;1;7;1;0.5;0.1;0.1;84;2;0.4731707;246;225.5;7;0;0
85;1;7;1;0.5;0.1;0.1;85;2;0.4955357;235;229.5;7;0;0
86;1;7;1;0.5;0.1;0.1;86;2;0.5410628;236;221.5;7;0;1
87;1;7;1;0.5;0.1;0.1;87;3;0.5;207;215.3333;7;1;0
88;1;7;1;0.5;0.1;0.1;88;3;0.5225225;240;227;7;1;1
89;1;7;1;0.5;0.1;0.1;89;2;0.4870466;233;213;7;0;0
90;1;7;1;0.5;0.1;0.1;90;2;0.4761905;255;222;7;0;0
91;1;7;1;0.5;0.1;0.1;91;2;0.5;237;222.5;7;0;0
92;1;7;1;0.5;0.1;0.1;92;5;0.5393701;204;221.6;7;3;1
93;1;7;1;0.5;0.1;0.1;93;3;0.4794521;231;228.3333;7;1;0
94;1;7;1;0.5;0.1;0.1;94;2;0.4278846;228;218;7;0;0
95;1;7;1;0.5;0.1;0.1;95;4;0.4714286;233;223.75;7;2;0
96;1;7;1;0.5;0.1;0.1;96;2;0.4772727;225;222.5;7;0;0
