;simu;n_obs;mutation_rate;c;initial_trait_frequency;initial_pref_frequency;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration;tradition_for_trait
66;1;7;1;0.5;0.1;0.1;66;2;0.05825243;216;211;7;0;0
67;1;7;1;0.5;0.1;0.1;67;2;0.0821256;248;227.5;7;0;0
68;1;7;1;0.5;0.1;0.1;68;3;0.4728033;204;215.6667;7;1;0
69;1;7;1;0.5;0.1;0.1;69;4;0.4439252;247;224;7;2;0
70;1;7;1;0.5;0.1;0.1;70;5;0.4790698;211;219.2;7;3;0
71;1;7;1;0.5;0.1;0.1;71;4;0.4694836;241;229.25;7;2;0
72;1;7;1;0.5;0.1;0.1;72;2;0.09359606;236;219.5;7;0;0
73;1;7;1;0.5;0.1;0.1;73;3;0.387931;204;224;7;1;0
74;1;7;1;0.5;0.1;0.1;74;3;0.4444444;213;217.6667;7;1;0
75;1;7;1;0.5;0.1;0.1;75;3;0.4858491;216;213.6667;7;1;0
76;1;7;1;0.5;0.1;0.1;76;4;0.4752475;220;214.25;7;2;0
77;1;7;1;0.5;0.1;0.1;77;5;0.5;203;225.8;7;3;0
78;1;7;1;0.5;0.1;0.1;78;4;0.4816514;211;220.25;7;2;0
79;1;7;1;0.5;0.1;0.1;79;5;0.4663677;231;228;7;3;0
80;1;7;1;0.5;0.1;0.1;80;4;0.4553191;242;235.5;7;2;0
81;1;7;1;0.5;0.1;0.1;81;3;0.4461538;207;226.3333;7;1;0
82;1;7;1;0.5;0.1;0.1;82;3;0.4291667;214;220;7;1;0
83;1;7;1;0.5;0.1;0.1;83;4;0.4882629;243;217;7;2;0
84;1;7;1;0.5;0.1;0.1;84;3;0.4897959;203;212;7;1;0
85;1;7;1;0.5;0.1;0.1;85;2;0.1138211;228;237;7;0;0
86;1;7;1;0.5;0.1;0.1;86;3;0.407563;225;223;7;1;0
87;1;7;1;0.5;0.1;0.1;87;5;0.4931507;208;222.6;7;3;0
88;1;7;1;0.5;0.1;0.1;88;4;0.4720812;213;212.75;7;2;0
89;1;7;1;0.5;0.1;0.1;89;4;0.479638;225;229.5;7;2;0
90;1;7;1;0.5;0.1;0.1;90;9;0.4162896;210;221.7778;7;7;0
91;1;7;1;0.5;0.1;0.1;91;4;0.4854772;218;225.75;7;2;0
92;1;7;1;0.5;0.1;0.1;92;6;0.4774775;220;222;7;4;0
93;1;7;1;0.5;0.1;0.1;93;3;0.4454148;229;228.6667;7;1;0
94;1;7;1;0.5;0.1;0.1;94;3;0.4755556;220;223.3333;7;1;0
95;1;7;1;0.5;0.1;0.1;95;3;0.4638298;207;213.6667;7;1;0
96;1;7;1;0.5;0.1;0.1;96;2;0.0821256;218;212.5;7;0;0
97;1;7;1;0.5;0.1;0.1;97;3;0.4881517;212;216;7;1;0
98;1;7;1;0.5;0.1;0.1;98;3;0.473913;234;235.3333;7;1;0
99;1;7;1;0.5;0.1;0.1;99;2;0.1055276;246;222.5;7;0;0
100;1;7;1;0.5;0.1;0.1;100;4;0.4796748;224;224;7;2;0
101;2;7;0.2;0.5;0.1;0.1;1;19;0.4502165;221;226.8421;7;17;0
102;2;7;0.2;0.5;0.1;0.1;2;18;0.3640777;228;220.6111;7;16;0
103;2;7;0.2;0.5;0.1;0.1;3;18;0.3694581;224;224.6667;7;16;0
104;2;7;0.2;0.5;0.1;0.1;4;23;0.4638298;226;226.8696;7;21;0
105;2;7;0.2;0.5;0.1;0.1;5;15;0.3521739;247;227;7;13;0
106;2;7;0.2;0.5;0.1;0.1;6;14;0.4245283;210;221.7143;7;12;0
107;2;7;0.2;0.5;0.1;0.1;7;25;0.3959184;213;224.16;7;23;0
108;2;7;0.2;0.5;0.1;0.1;8;21;0.4285714;224;222.8095;7;19;0
109;2;7;0.2;0.5;0.1;0.1;9;11;0.4;218;221.6364;7;9;0
110;2;7;0.2;0.5;0.1;0.1;10;14;0.360515;205;222.6429;7;12;0
111;2;7;0.2;0.5;0.1;0.1;11;27;0.4444444;243;225.2222;7;25;0
112;2;7;0.2;0.5;0.1;0.1;12;36;0.4204082;224;223.8056;7;34;0
113;2;7;0.2;0.5;0.1;0.1;13;18;0.4782609;227;225.2778;7;16;0
114;2;7;0.2;0.5;0.1;0.1;14;23;0.4845815;229;225.4783;7;21;0
115;2;7;0.2;0.5;0.1;0.1;15;36;0.4827586;239;224.8889;7;34;0
116;2;7;0.2;0.5;0.1;0.1;16;21;0.4417476;237;224;7;19;0
117;2;7;0.2;0.5;0.1;0.1;17;18;0.4846154;232;224.2222;7;16;0
118;2;7;0.2;0.5;0.1;0.1;18;30;0.4349776;229;225.6333;7;28;0
119;2;7;0.2;0.5;0.1;0.1;19;22;0.4305556;213;228.1818;7;20;0
120;2;7;0.2;0.5;0.1;0.1;20;21;0.4416667;218;219.3333;7;19;0
121;2;7;0.2;0.5;0.1;0.1;21;26;0.4425532;213;225.4231;7;24;0
122;2;7;0.2;0.5;0.1;0.1;22;24;0.4386792;225;223.1667;7;22;0
123;2;7;0.2;0.5;0.1;0.1;23;22;0.4181818;206;223.1364;7;20;0
124;2;7;0.2;0.5;0.1;0.1;24;10;0.3095238;225;217.1;7;8;0
125;2;7;0.2;0.5;0.1;0.1;25;24;0.4485597;195;221.75;7;22;0
126;2;7;0.2;0.5;0.1;0.1;26;25;0.4534413;202;223.4;7;23;0
127;2;7;0.2;0.5;0.1;0.1;27;11;0.3963964;231;224.2727;7;9;0
128;2;7;0.2;0.5;0.1;0.1;28;25;0.4090909;251;224.32;7;23;0
129;2;7;0.2;0.5;0.1;0.1;29;27;0.5;244;226.3333;7;25;0
130;2;7;0.2;0.5;0.1;0.1;30;14;0.3253589;227;223.1429;7;12;0
