;simu;n_obs;mutation_rate;c;n_steps_removed;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
75;1;1;0.1;0.5;25;75;26;0.4645669;209;226.2308;1;0
76;1;1;0.1;0.5;25;76;26;0.4641148;243;225.3462;1;0
77;1;1;0.1;0.5;25;77;26;0.5470852;218;223.7692;1;0
78;1;1;0.1;0.5;25;78;27;0.5060729;224;225.9259;1;1
79;1;1;0.1;0.5;25;79;26;0.4524887;218;221.5;1;0
80;1;1;0.1;0.5;25;80;26;0.5116279;228;219.1923;1;0
81;1;1;0.1;0.5;25;81;27;0.5571429;222;218.3333;1;1
82;1;1;0.1;0.5;25;82;26;0.5489362;220;222.6538;1;0
83;1;1;0.1;0.5;25;83;26;0.4732143;212;222.4615;1;0
84;1;1;0.1;0.5;25;84;26;0.4741784;241;223.6923;1;0
85;1;1;0.1;0.5;25;85;26;0.4675325;223;224.2692;1;0
86;1;1;0.1;0.5;25;86;26;0.507109;223;223.1154;1;0
87;1;1;0.1;0.5;25;87;27;0.5198413;218;220.8889;1;1
88;1;1;0.1;0.5;25;88;26;0.4655172;222;223.5385;1;0
89;1;1;0.1;0.5;25;89;26;0.5245902;215;227.6154;1;0
90;1;1;0.1;0.5;25;90;26;0.4910714;224;223.2692;1;0
91;1;1;0.1;0.5;25;91;26;0.4954545;225;221.0385;1;0
92;1;1;0.1;0.5;25;92;26;0.5175879;238;222.7692;1;0
93;1;1;0.1;0.5;25;93;29;0.4715026;229;222.4828;1;3
94;1;1;0.1;0.5;25;94;26;0.5158371;238;223.0385;1;0
95;1;1;0.1;0.5;25;95;26;0.4927536;219;219.7692;1;0
96;1;1;0.1;0.5;25;96;27;0.5181818;212;222.8519;1;1
97;1;1;0.1;0.5;25;97;26;0.525;220;223.4615;1;0
98;1;1;0.1;0.5;25;98;29;0.4392523;223;222.069;1;3
99;1;1;0.1;0.5;25;99;26;0.5534884;213;224.6538;1;0
100;1;1;0.1;0.5;25;100;27;0.5347826;200;227.1852;1;1
101;2;3;0.1;0.5;25;1;26;0.5309278;242;223.0769;3;0
102;2;3;0.1;0.5;25;2;26;0.4821429;244;228.5;3;0
103;2;3;0.1;0.5;25;3;27;0.4587156;207;222.1481;3;1
104;2;3;0.1;0.5;25;4;31;0.4465116;207;222.6774;3;5
105;2;3;0.1;0.5;25;5;27;0.5329949;215;223.4074;3;1
106;2;3;0.1;0.5;25;6;26;0.4886878;225;222.5385;3;0
107;2;3;0.1;0.5;25;7;27;0.4193548;228;223.5926;3;1
108;2;3;0.1;0.5;25;8;28;0.4909091;211;222.3214;3;2
109;2;3;0.1;0.5;25;9;26;0.4906542;214;225.6538;3;0
110;2;3;0.1;0.5;25;10;26;0.4635193;237;227.8077;3;0
111;2;3;0.1;0.5;25;11;26;0.5044643;246;224.0769;3;0
112;2;3;0.1;0.5;25;12;26;0.4541667;217;224;3;0
113;2;3;0.1;0.5;25;13;26;0.5;225;220.5769;3;0
114;2;3;0.1;0.5;25;14;27;0.5660377;225;222.5926;3;1
115;2;3;0.1;0.5;25;15;27;0.4633028;225;222.0741;3;1
116;2;3;0.1;0.5;25;16;26;0.5211864;228;223.8846;3;0
117;2;3;0.1;0.5;25;17;26;0.5043103;226;219.9231;3;0
118;2;3;0.1;0.5;25;18;31;0.4357798;232;224.129;3;5
119;2;3;0.1;0.5;25;19;27;0.5210084;220;221.9259;3;1
120;2;3;0.1;0.5;25;20;26;0.4953271;243;225.3846;3;0
121;2;3;0.1;0.5;25;21;26;0.4932127;236;223.9231;3;0
122;2;3;0.1;0.5;25;22;26;0.4976744;239;226.2308;3;0
123;2;3;0.1;0.5;25;23;26;0.4897119;226;222.2308;3;0
124;2;3;0.1;0.5;25;24;26;0.5084746;218;224.9615;3;0
125;2;3;0.1;0.5;25;25;27;0.4780702;241;224.9259;3;1
126;2;3;0.1;0.5;25;26;26;0.4952381;199;220.9231;3;0
127;2;3;0.1;0.5;25;27;29;0.4690265;232;223.5517;3;3
128;2;3;0.1;0.5;25;28;26;0.4849785;228;222.8462;3;0
129;2;3;0.1;0.5;25;29;26;0.5311005;227;220.0769;3;0
130;2;3;0.1;0.5;25;30;26;0.5375;234;227.0385;3;0
131;2;3;0.1;0.5;25;31;29;0.5330396;214;224.3448;3;3
132;2;3;0.1;0.5;25;32;28;0.5588235;230;220.4286;3;2
133;2;3;0.1;0.5;25;33;28;0.5045045;216;224.3929;3;2
134;2;3;0.1;0.5;25;34;29;0.540404;259;228.6552;3;3
135;2;3;0.1;0.5;25;35;30;0.5963303;217;220.7667;3;4
