"","X","simu","n_obs","mutation_rate","c","initial_trait_frequency","replicate","male_trait_first","male_trait_last","female_choice_first","female_choice_last","female_preference_last","nb_repro_last"
"70",NA,70,"20",0,"0.7",0.00446428571428571,NA,0.004667715348,0.00465825936,0.004708992365,0.1884482033,0,NA
"71",NA,71,"25",0,"0.7",0.00446428571428571,NA,0.004589539534,0.004453430161,0.004705285714,0.1905520283,0,NA
"72",NA,72,"30",0,"0.7",0.00446428571428571,NA,0.004439153706,0.004441644612,0.004488239948,0.1816882896,0,NA
"73",NA,73,"0",0,"0.8",0.00446428571428571,NA,0.004342892111,0.004392843763,0.004132215259,0.3040732889,0.4994508889,NA
"74",NA,74,"1",0,"0.8",0.00446428571428571,NA,0.004422683928,0.00445993823,0.004182745246,0.1247899512,0.004318195096,NA
"75",NA,75,"5",0,"0.8",0.00446428571428571,NA,0.00438860072,0.004453890356,0.004724828791,0.1217371438,4.651163e-06,NA
"76",NA,76,"10",0,"0.8",0.00446428571428571,NA,0.004470835471,0.004462725836,0.004419520892,0.1226257648,0,NA
"77",NA,77,"15",0,"0.8",0.00446428571428571,NA,0.004607043116,0.004424625963,0.004684317866,0.1207332441,0,NA
"78",NA,78,"20",0,"0.8",0.00446428571428571,NA,0.004465019918,0.004375440214,0.004397415046,0.1217690228,0,NA
"79",NA,79,"25",0,"0.8",0.00446428571428571,NA,0.004538858855,0.004462725852,0.004373889603,0.1258239437,0,NA
"80",NA,80,"30",0,"0.8",0.00446428571428571,NA,0.004593572891,0.004617194869,0.004341825001,0.1289635412,0,NA
"81",NA,81,"0",0,"0.9",0.00446428571428571,NA,0.004624444411,0.004545819757,0.004722084887,0.2999042241,0.4991445812,NA
"82",NA,82,"1",0,"0.9",0.00446428571428571,NA,0.004597635906,0.004665569092,0.004616390876,0.06354419176,0.004568994318,NA
"83",NA,83,"5",0,"0.9",0.00446428571428571,NA,0.004533621512,0.004529303128,0.004817380609,0.05924569836,1.1959182e-05,NA
"84",NA,84,"10",0,"0.9",0.00446428571428571,NA,0.004533195889,0.004552818792,0.004697375825,0.05812447946,0,NA
"85",NA,85,"15",0,"0.9",0.00446428571428571,NA,0.004507140725,0.004524822083,0.004381118084,0.06207569073,0,NA
"86",NA,86,"20",0,"0.9",0.00446428571428571,NA,0.004548517093,0.004707748694,0.004762875524,0.06273948872,0,NA
"87",NA,87,"25",0,"0.9",0.00446428571428571,NA,0.004456730343,0.004522895747,0.004385778123,0.06081349288,0,NA
"88",NA,88,"30",0,"0.9",0.00446428571428571,NA,0.004408812685,0.004429728751,0.004653331391,0.05915116141,0,NA
"89",NA,89,"0",0,"1",0.00446428571428571,NA,0.004294786909,0.004393382166,0.004224879801,0.2973256807,0.4988790468,NA
"90",NA,90,"1",0,"1",0.00446428571428571,NA,0.00445714394,0.004520126889,0.004412334278,0.002828736327,0.004530774501,NA
"91",NA,91,"5",0,"1",0.00446428571428571,NA,0.004497459653,0.004581799538,0.004634881145,4.651163e-06,1.2182673e-05,NA
"92",NA,92,"10",0,"1",0.00446428571428571,NA,0.004442066025,0.004457718804,0.004413702698,0,0,NA
"93",NA,93,"15",0,"1",0.00446428571428571,NA,0.004493832106,0.004456223153,0.004631585842,0,0,NA
"94",NA,94,"20",0,"1",0.00446428571428571,NA,0.004437196942,0.004495454247,0.004765704992,0,0,NA
"95",NA,95,"25",0,"1",0.00446428571428571,NA,0.004442751335,0.004534944954,0.00432002715,0,0,NA
"96",NA,96,"30",0,"1",0.00446428571428571,NA,0.0044866826,0.00452686753,0.004299340948,0,0,NA
"97",NA,97,"0",0,"0.5",0.00892857142857143,NA,0.008903628139,0.008842729325,0.008917981383,0.4268617951,0.4997890197,NA
"98",NA,98,"1",0,"0.5",0.00892857142857143,NA,0.008704316211,0.008680000624,0.008934759173,0.4151983679,0.009088413868,NA
"99",NA,99,"5",0,"0.5",0.00892857142857143,NA,0.009108903188,0.009112641314,0.008931914674,0.4314352799,1.2538108e-05,NA
"100",NA,100,"10",0,"0.5",0.00892857142857143,NA,0.008586395902,0.008401994416,0.008089864189,0.425388367,0,NA
"101",NA,101,"15",0,"0.5",0.00892857142857143,NA,0.008766197079,0.008814806749,0.008583147866,0.4305860218,0,NA
"102",NA,102,"20",0,"0.5",0.00892857142857143,NA,0.008981332392,0.008975821147,0.008785797678,0.4254411514,0,NA
"103",NA,103,"25",0,"0.5",0.00892857142857143,NA,0.009071962648,0.009014785202,0.008900426194,0.4299533635,0,NA
"104",NA,104,"30",0,"0.5",0.00892857142857143,NA,0.008994842183,0.00892696498,0.008527832198,0.4329981849,0,NA
"105",NA,105,"0",0,"0.6",0.00892857142857143,NA,0.00907156301,0.009158785018,0.008751390968,0.4276004056,0.4998257159,NA
"106",NA,106,"1",0,"0.6",0.00892857142857143,NA,0.008842443395,0.008966033648,0.009176502348,0.3381730057,0.008922551416,NA
"107",NA,107,"5",0,"0.6",0.00892857142857143,NA,0.009061238445,0.009083793727,0.009281744608,0.3432712226,1.5937796e-05,NA
"108",NA,108,"10",0,"0.6",0.00892857142857143,NA,0.008702384419,0.008723610294,0.008857989391,0.3288656847,0,NA
"109",NA,109,"15",0,"0.6",0.00892857142857143,NA,0.008850387748,0.008744843908,0.009367893062,0.334839068,0,NA
"110",NA,110,"20",0,"0.6",0.00892857142857143,NA,0.008794108114,0.008707437566,0.008763205061,0.3399044384,0,NA
"111",NA,111,"25",0,"0.6",0.00892857142857143,NA,0.009164767025,0.008968047499,0.008840206489,0.3448828566,0,NA
"112",NA,112,"30",0,"0.6",0.00892857142857143,NA,0.008835478905,0.008929855134,0.008834471702,0.3367877334,0,NA
"113",NA,113,"0",0,"0.7",0.00892857142857143,NA,0.008959183151,0.008803333944,0.008767802039,0.4306202666,0.496823916,NA
"114",NA,114,"1",0,"0.7",0.00892857142857143,NA,0.009075717642,0.00892286415,0.008909871493,0.2513504583,0.009108411179,NA
"115",NA,115,"5",0,"0.7",0.00892857142857143,NA,0.009076161971,0.009083768894,0.009232027843,0.2526161426,4.219409e-06,NA
"116",NA,116,"10",0,"0.7",0.00892857142857143,NA,0.008809239935,0.008900734938,0.008980606258,0.2513982269,0,NA
"117",NA,117,"15",0,"0.7",0.00892857142857143,NA,0.00887214653,0.009027645324,0.008971767876,0.2524944137,0,NA
"118",NA,118,"20",0,"0.7",0.00892857142857143,NA,0.008720287715,0.008846752294,0.008732015769,0.2546098516,0,NA
"119",NA,119,"25",0,"0.7",0.00892857142857143,NA,0.008904313133,0.008877023557,0.008697140999,0.2562432679,0,NA
"120",NA,120,"30",0,"0.7",0.00892857142857143,NA,0.008787303644,0.008991163081,0.008642869541,0.2544990014,0,NA
"121",NA,121,"0",0,"0.8",0.00892857142857143,NA,0.008728047506,0.008846950209,0.008046612382,0.4260968748,0.5000069292,NA
"122",NA,122,"1",0,"0.8",0.00892857142857143,NA,0.008828954156,0.009037120573,0.008797189967,0.1733832305,0.008872328953,NA
"123",NA,123,"5",0,"0.8",0.00892857142857143,NA,0.008843236651,0.008784258623,0.009043590261,0.16807693229,1.2930173e-05,NA
"124",NA,124,"10",0,"0.8",0.00892857142857143,NA,0.008796728205,0.008677618778,0.008618772217,0.1704481295,0,NA
"125",NA,125,"15",0,"0.8",0.00892857142857143,NA,0.008965884148,0.008908007368,0.008672783659,0.1696983333,0,NA
"126",NA,126,"20",0,"0.8",0.00892857142857143,NA,0.009129352849,0.008915220605,0.009249158896,0.1700334244,0,NA
"127",NA,127,"25",0,"0.8",0.00892857142857143,NA,0.00881239983,0.00888393763,0.008690597434,0.167589497,0,NA
"128",NA,128,"30",0,"0.8",0.00892857142857143,NA,0.008852814598,0.008787967869,0.008640694934,0.1694609908,0,NA
"129",NA,129,"0",0,"0.9",0.00892857142857143,NA,0.008924841883,0.008755562521,0.009087795691,0.4217782151,0.5004596956,NA
"130",NA,130,"1",0,"0.9",0.00892857142857143,NA,0.009041242084,0.008992756476,0.009066657789,0.09050086209,0.008938490325,NA
"131",NA,131,"5",0,"0.9",0.00892857142857143,NA,0.008870639678,0.0090194027,0.009120105284,0.0858609581,2.0279227e-05,NA
"132",NA,132,"10",0,"0.9",0.00892857142857143,NA,0.009235705426,0.009127588654,0.008963250147,0.0845672506,0,NA
"133",NA,133,"15",0,"0.9",0.00892857142857143,NA,0.00885261381,0.00892955331,0.008610398206,0.08465044608,0,NA
"134",NA,134,"20",0,"0.9",0.00892857142857143,NA,0.008912457771,0.008653298938,0.008861972928,0.08413496929,0,NA
"135",NA,135,"25",0,"0.9",0.00892857142857143,NA,0.009221842434,0.00935975899,0.009386602014,0.08569508997,0,NA
"136",NA,136,"30",0,"0.9",0.00892857142857143,NA,0.008921888807,0.008909877248,0.008748475093,0.08621141614,0,NA
"137",NA,137,"0",0,"1",0.00892857142857143,NA,0.009106496163,0.00888947166,0.008871448163,0.4291478344,0.4973152992,NA
"138",NA,138,"1",0,"1",0.00892857142857143,NA,0.008908697758,0.008889385959,0.009254600634,0.007566554629,0.009186241802,NA
"139",NA,139,"5",0,"1",0.00892857142857143,NA,0.008880203925,0.008890459761,0.009254738852,2.3730849e-05,2.5131156e-05,NA
"140",NA,140,"10",0,"1",0.00892857142857143,NA,0.008498717309,0.0085102802,0.008473642945,0,0,NA
"141",NA,141,"15",0,"1",0.00892857142857143,NA,0.008926568011,0.008861386807,0.008972180538,0,0,NA
"142",NA,142,"20",0,"1",0.00892857142857143,NA,0.009058573388,0.009028711285,0.009196419875,0,0,NA
"143",NA,143,"25",0,"1",0.00892857142857143,NA,0.008906912046,0.008842543417,0.008943455383,0,0,NA
"144",NA,144,"30",0,"1",0.00892857142857143,NA,0.008941786272,0.008874216833,0.009490203591,0,0,NA
"145",NA,145,"0",0,"0.5",0.0133928571428571,NA,0.013371882208,0.013453630998,0.013564381923,0.4646257094,0.4989257961,NA
"146",NA,146,"1",0,"0.5",0.0133928571428571,NA,0.013462685412,0.013458505221,0.013648180526,0.4677389873,0.013981877464,NA
"147",NA,147,"5",0,"0.5",0.0133928571428571,NA,0.01342764142,0.013624936931,0.013336069067,0.468779087,5.0876356e-05,NA
"148",NA,148,"10",0,"0.5",0.0133928571428571,NA,0.013508427592,0.013241426819,0.013300303219,0.4701334063,0,NA
"149",NA,149,"15",0,"0.5",0.0133928571428571,NA,0.013655233324,0.013656098973,0.013386840793,0.4701697395,0,NA
"150",NA,150,"20",0,"0.5",0.0133928571428571,NA,0.013453594311,0.013459182088,0.013638879869,0.4784372846,0,NA
"151",NA,151,"25",0,"0.5",0.0133928571428571,NA,0.013697171175,0.013522132475,0.014008255488,0.4690542458,0,NA
"152",NA,152,"30",0,"0.5",0.0133928571428571,NA,0.013220593484,0.013157099506,0.013230270485,0.4719169567,0,NA
"153",NA,153,"0",0,"0.6",0.0133928571428571,NA,0.013388615294,0.013267071406,0.0131076921,0.4718273733,0.5012158846,NA
"154",NA,154,"1",0,"0.6",0.0133928571428571,NA,0.013320576971,0.013304058508,0.013686347349,0.3742100068,0.013608859044,NA
"155",NA,155,"5",0,"0.6",0.0133928571428571,NA,0.013644879017,0.013377158496,0.013446352832,0.3728199346,5.4452679e-05,NA
"156",NA,156,"10",0,"0.6",0.0133928571428571,NA,0.013550021951,0.01382464832,0.013332688293,0.3811832129,0,NA
"157",NA,157,"15",0,"0.6",0.0133928571428571,NA,0.013403353699,0.01354118589,0.013689706028,0.3781791752,0,NA
"158",NA,158,"20",0,"0.6",0.0133928571428571,NA,0.013355851598,0.013343411088,0.012836894117,0.3775066002,0,NA
"159",NA,159,"25",0,"0.6",0.0133928571428571,NA,0.013318219786,0.013077139348,0.013397392461,0.3745660376,0,NA
"160",NA,160,"30",0,"0.6",0.0133928571428571,NA,0.013296513198,0.013182774336,0.01275029165,0.3795003726,0,NA
